"category","action","sourcePath","destinationPath","mappingRule","reviewReason","size","sha256","remoteExists","remoteSize","remoteEtag","remoteContentType","databaseReferenced"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/panda/panda_1.png","nouns/panda/panda_1.png","preserve_relative_path","","1207522","ab0c379b3fd73858e4564e984a1406a6e398d70dc61dacb5371624109a4a9cd4","true","1207522","92c0015a9f784586867de1d745e83f87","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/panda/panda_2.png","nouns/panda/panda_2.png","preserve_relative_path","","1161515","bac018372102bb662f7cb18121c681a7429f345229f135baa6bc6868f6bf5f63","true","1161515","3d3e02c31f00fc378e9d851c6b7f2df2","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pantry/pantry_1.png","nouns/pantry/pantry_1.png","preserve_relative_path","","1871240","3efd5c424c3d77d397397578c573a78d82c0938262898e6ee6e333dc5dbf01ae","true","1871240","05009d057e99444e3522a4fa7c465db5","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pantry/pantry_2.png","nouns/pantry/pantry_2.png","preserve_relative_path","","1508035","c8073121797984d7ac6507844401565eee70356f9dedb8305a8b7f10ba35a976","true","1508035","01ea7902a6c5ccb9d4f7385847a0843d","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pantry/pantry_3.png","nouns/pantry/pantry_3.png","preserve_relative_path","","2290415","e43f47abf94db67f6591881340212663a26e5111a91ecd5a2f8c348b9f71846f","true","2290415","0faea80c497dd69ea67328278e611a50","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pants/pants_1.png","nouns/pants/pants_1.png","preserve_relative_path","","830141","fd2162a2fa8c5d88fa884c0762ecf7df0717f63fe6a31c223ca44dadc31d1c48","true","830141","090b2421fbe2fd330081592b0d907e03","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pants/pants_2.png","nouns/pants/pants_2.png","preserve_relative_path","","1482322","3b9e3ba3d3310622999d9f2fe2089b7318a79b22e249adceb10adcde652bd1dc","true","1482322","13fdc9f3242b689cab49661f4499284c","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/paper_clip/paper_clip_1.png","nouns/paper_clip/paper_clip_1.png","preserve_relative_path","","705240","1c0c7246526bc4a068fc17035a3b18f593a96cfe83603174c09bdb5cd665419a","true","705240","8db372c2f6a8b63043b02fbabfda4a74","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/paper_clip/paper_clip_2.png","nouns/paper_clip/paper_clip_2.png","preserve_relative_path","","1238447","45b6b4c9e822dc9c3ce6a2e3e4902b2550bb3306993dcb08c73c538b1ff059d7","true","1238447","b553c23416f3decd086137eaf61ac12e","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/paper_clip/paper_clip_3.png","nouns/paper_clip/paper_clip_3.png","preserve_relative_path","","1077634","5657efadb3d66343c83fc5dd36fcfdd57d3a186c32b85c94e61890d0b78eed4e","true","1077634","252a116fe54f564b88ea41b111d26526","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/paper/paper_1.png","nouns/paper/paper_1.png","preserve_relative_path","","723752","a075b3e5c58d93c59c9e250c28151fe088fd95595ec0d6f167d0e6f3c37bec57","true","723752","6fefe257718404b37edbb8d6d83768e7","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/paper/paper_2.png","nouns/paper/paper_2.png","preserve_relative_path","","983955","98f89ddbad170915cd0ad93fc1625bf0168495ed19c08cee6ca182eee2e70671","true","983955","925d20c57c62f6212c6549d56a127d51","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/paper/paper_3.png","nouns/paper/paper_3.png","preserve_relative_path","","1183499","a2caf9560bb8f142cbaf7f38c5811c1341aad19a653dfef44bb115fd7a3989e0","true","1183499","ea0cfd726dd16f8116a6f0a96e623a62","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/park/park_1.png","nouns/park/park_1.png","preserve_relative_path","","2471902","703b2b0a36ec942bee73471bd6ecd7aec0b5a6264490e1c09316a4ea3e2fbaa4","true","2471902","7d6035022a0c48748bd6a052ad7fccb5","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/park/park_2.png","nouns/park/park_2.png","preserve_relative_path","","1455404","001f167a3b332d107a1b5723428b50da0db4eac719cc18cb468c1e24e8d17874","true","1455404","f5574f23e23ab1640f0d43ebd0bcab82","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/park/park_3.png","nouns/park/park_3.png","preserve_relative_path","","2784876","ae7ed8fe4498e5c2c6bc36a80bf05ad14bab46f37f8ea8441ebf9a52755dab81","true","2784876","fcf96b3dfcbe91a69fd5f773c2f5a9cb","image/png","false"
